country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
ID,,,,0,6,Tech_A
ID,,,,5,5,Tech_A
ID,,,,10,4,Tech_A
ID,,,,15,4,Tech_A
ID,,,,20,3.5,Tech_A
ID,,,,25,3,Tech_A
ID,,,,30,2,Tech_A
ID,,,,35,2,Tech_A
ID,,,,40,1,Tech_A
ID,,,,45,0,Tech_A
ID,,,,0,33,Tech_B
ID,,,,5,25,Tech_B
ID,,,,10,21,Tech_B
ID,,,,15,15,Tech_B
ID,,,,20,13,Tech_B
ID,,,,25,11,Tech_B
ID,,,,30,9,Tech_B
ID,,,,35,7,Tech_B
ID,,,,40,3,Tech_B
ID,,,,45,1,Tech_B
ID,,,,0,5,Tech_C
ID,,,,5,5.5,Tech_C
ID,,,,10,6,Tech_C
ID,,,,15,6,Tech_C
ID,,,,20,6,Tech_C
ID,,,,25,7,Tech_C
ID,,,,30,8,Tech_C
ID,,,,35,9,Tech_C
ID,,,,40,10,Tech_C
ID,,,,45,11,Tech_C
ID,,,,0,1,Tech_D
ID,,,,5,1,Tech_D
ID,,,,10,2,Tech_D
ID,,,,15,3,Tech_D
ID,,,,20,4,Tech_D
ID,,,,25,3,Tech_D
ID,,,,30,2,Tech_D
ID,,,,35,1,Tech_D
ID,,,,40,0,Tech_D
ID,,,,45,0,Tech_D
SG,,,,20,14,Tech_A
SG,,,,22,9,Tech_A
SG,,,,24,5,Tech_A
SG,,,,26,4,Tech_A
SG,,,,28,3.5,Tech_A
SG,,,,30,3,Tech_A
SG,,,,32,2,Tech_A
SG,,,,34,2,Tech_A
SG,,,,36,1,Tech_A
SG,,,,38,0,Tech_A
SG,,,,20,12,Tech_B
SG,,,,22,12,Tech_B
SG,,,,24,12,Tech_B
SG,,,,26,11,Tech_B
SG,,,,28,9,Tech_B
SG,,,,30,7,Tech_B
SG,,,,32,5,Tech_B
SG,,,,34,3,Tech_B
SG,,,,36,2,Tech_B
SG,,,,38,1,Tech_B
SG,,,,20,7,Tech_C
SG,,,,22,7,Tech_C
SG,,,,24,7,Tech_C
SG,,,,26,7,Tech_C
SG,,,,28,7,Tech_C
SG,,,,30,7,Tech_C
SG,,,,32,8,Tech_C
SG,,,,34,9,Tech_C
SG,,,,36,10,Tech_C
SG,,,,38,11,Tech_C
SG,,,,20,1,Tech_D
SG,,,,22,1,Tech_D
SG,,,,24,2,Tech_D
SG,,,,26,3,Tech_D
SG,,,,28,4,Tech_D
SG,,,,30,3,Tech_D
SG,,,,32,2,Tech_D
SG,,,,34,1,Tech_D
SG,,,,36,0,Tech_D
SG,,,,38,0,Tech_D
SG,ID,,,0,14,Tech_A
SG,ID,,,3,9,Tech_A
SG,ID,,,6,5,Tech_A
SG,ID,,,9,4,Tech_A
SG,ID,,,12,3.5,Tech_A
SG,ID,,,15,3,Tech_A
SG,ID,,,18,2,Tech_A
SG,ID,,,21,2,Tech_A
SG,ID,,,24,1,Tech_A
SG,ID,,,27,0,Tech_A
SG,ID,,,0,12,Tech_B
SG,ID,,,3,12,Tech_B
SG,ID,,,6,12,Tech_B
SG,ID,,,9,11,Tech_B
SG,ID,,,12,9,Tech_B
SG,ID,,,15,7,Tech_B
SG,ID,,,18,5,Tech_B
SG,ID,,,21,3,Tech_B
SG,ID,,,24,2,Tech_B
SG,ID,,,27,1,Tech_B
SG,ID,,,0,7,Tech_C
SG,ID,,,3,7,Tech_C
SG,ID,,,6,7,Tech_C
SG,ID,,,9,7,Tech_C
SG,ID,,,12,7,Tech_C
SG,ID,,,15,7,Tech_C
SG,ID,,,18,8,Tech_C
SG,ID,,,21,9,Tech_C
SG,ID,,,24,10,Tech_C
SG,ID,,,27,11,Tech_C
SG,ID,,,0,1,Tech_D
SG,ID,,,3,1,Tech_D
SG,ID,,,6,2,Tech_D
SG,ID,,,9,3,Tech_D
SG,ID,,,12,4,Tech_D
SG,ID,,,15,3,Tech_D
SG,ID,,,18,2,Tech_D
SG,ID,,,21,1,Tech_D
SG,ID,,,24,0,Tech_D
SG,ID,,,27,0,Tech_D
SG,ID,,,0,14,Tech_E
SG,ID,,,3,10,Tech_E
SG,ID,,,6,9,Tech_E
SG,ID,,,9,7,Tech_E
SG,ID,,,12,5,Tech_E
SG,ID,,,15,4,Tech_E
SG,ID,,,18,3,Tech_E
SG,ID,,,21,2,Tech_E
SG,ID,,,24,1,Tech_E
SG,ID,,,27,0,Tech_E
MM,,,,0,2,transport
MM,,,,1,7,transport
MM,,,,2,3,transport
MM,,,,3,3,transport
MM,,,,4,4,transport
MM,,,,5,5,transport
MM,,,,6,1,transport
MM,,,,7,7,transport
MM,,,,8,4,transport
MM,,,,9,4,transport
MM,,,,0,4,windenergy
MM,,,,1,4,windenergy
MM,,,,2,7,windenergy
MM,,,,3,6,windenergy
MM,,,,4,4,windenergy
MM,,,,5,3,windenergy
MM,,,,6,7,windenergy
MM,,,,7,3,windenergy
MM,,,,8,1,windenergy
MM,,,,9,5,windenergy
MM,,,,0,6,nuclear
MM,,,,1,7,nuclear
MM,,,,2,7,nuclear
MM,,,,3,6,nuclear
MM,,,,4,7,nuclear
MM,,,,5,2,nuclear
MM,,,,6,6,nuclear
MM,,,,7,1,nuclear
MM,,,,8,6,nuclear
MM,,,,9,6,nuclear
MM,,,,0,7,biomass
MM,,,,1,3,biomass
MM,,,,2,2,biomass
MM,,,,3,1,biomass
MM,,,,4,1,biomass
MM,,,,5,6,biomass
MM,,,,6,3,biomass
MM,,,,7,2,biomass
MM,,,,8,6,biomass
MM,,,,9,3,biomass
MM,,,,0,1,waterenergy
MM,,,,1,2,waterenergy
MM,,,,2,6,waterenergy
MM,,,,3,5,waterenergy
MM,,,,4,4,waterenergy
MM,,,,5,4,waterenergy
MM,,,,6,5,waterenergy
MM,,,,7,3,waterenergy
MM,,,,8,6,waterenergy
MM,,,,9,1,waterenergy
MM,,,,0,6,newtech
MM,,,,1,7,newtech
